"nom","id_escalier","type_esc","nb_marche","rampe","etage","etage","transport","compatibilite_pmr","localisation"
"Châtelet",1376478,"EM",,"NON",-2,,,,"POINT (1652093.7569068247 8184358.568986775)"
"Châtelet",1376477,"EM",,"NON",-2,,,,"POINT (1652092.7362500103 8184360.668000933)"
"Châtelet",1376586,"EF",24,"OUI",-2,,,,"POINT (1652117.7397113931 8184379.961141724)"
"Châtelet",1376522,"EM",0,"OUI",-2,-1,"M","Non","POINT (1652122.9493000067 8184380.480100931)"
"Châtelet",1376593,"EF",14,"OUI",-2,,,,"POINT (1652094.5114474383 8184372.628748975)"
"Châtelet",1376557,"EF",24,"OUI",-2,,,,"POINT (1652099.63809241 8184353.68324076)"
"Châtelet",1376546,"EF",6,"OUI",-1,,,,"POINT (1651957.907726364 8184586.223679244)"
"Châtelet",1376514,"EF",20,"NON",-1,,,,"POINT (1651963.3742580537 8184586.109320073)"
"Châtelet",1376536,"EF",11,"NON",-2,,,,"POINT (1651955.3285554945 8184579.47463367)"
"Châtelet",1376533,"EF",15,"OUI",-2,,,,"POINT (1651958.2037637266 8184575.144522295)"
"Châtelet",1376499,"EF",18,"NON",-1,,,,"POINT (1652141.57042748 8184317.897471283)"
"Châtelet",1376535,"EF",18,"NON",-2,,,,"POINT (1652136.6847753702 8184307.026485781)"
"Châtelet",1376607,"EF",17,"NON",-2,,,,"POINT (1652203.4309199115 8184346.075698338)"
"Châtelet",1376606,"EF",17,"NON",-2,,,,"POINT (1652209.8745975615 8184343.300409738)"
"Châtelet",1376598,"EF",16,"NON",-2,,,,"POINT (1652194.7836121435 8184351.561546135)"
"Châtelet",1376548,"EF",0,"NON",-2,,,,"POINT (1652208.9988645443 8184346.996707521)"
"Châtelet",1376542,"EF",0,"OUI",-2,,,,"POINT (1652218.8606752076 8184351.584936358)"
"Châtelet",1376578,"EF",0,"OUI",-2,,,,"POINT (1652198.4283963877 8184381.728389912)"
"Châtelet",1376519,"EF",0,"NON",-2,,,,"POINT (1652192.2231117245 8184354.160554667)"
"Châtelet",1376571,"EF",21,"OUI",-2,,,,"POINT (1652051.5635306197 8184527.241688646)"
"Châtelet",1376538,"EF",0,"NON",-2,,,,"POINT (1652033.75030001 8184528.013850931)"
"Châtelet",1376524,"EF",0,"NON",-2,,,,"POINT (1652039.1336500084 8184524.442550933)"
"Châtelet",1376504,"EF",19,"NON",-3,,,,"POINT (1652065.0481685845 8184556.453104397)"
"Châtelet",1376525,"EF",14,"NON",-1,,,,"POINT (1652110.3281894245 8184509.120939277)"
"Châtelet",1376512,"EM",0,"OUI",-2,-2,"M","Non","POINT (1652064.2803000067 8184535.122100931)"
"Châtelet",1376497,"EM",0,"OUI",-2,-1,"M","Non","POINT (1652070.483000011 8184534.140000934)"
"Châtelet",1376523,"EF",22,"OUI",-2,,,,"POINT (1652058.5519434423 8184540.134132195)"
"Châtelet",1376490,"EF",21,"OUI",-1,,,,"POINT (1652059.143373911 8184523.404017634)"
"Châtelet",1376517,"EF",19,"NON",-2,,,,"POINT (1652236.9367105674 8184284.703422051)"
"Châtelet",1376581,"EF",5,"OUI",-1,,,,"POINT (1652141.3856346295 8184371.472226179)"
"Châtelet",1376543,"EF",8,"OUI",-1,,,,"POINT (1652149.312658777 8184363.952793219)"
"Châtelet",1376587,"EF",7,"NON",-1,,,,"POINT (1652087.086402922 8184402.057673196)"
"Châtelet",1376552,"EF",11,"NON",-1,,,,"POINT (1652089.4478145645 8184399.539894178)"
"Châtelet",1376513,"EF",5,"OUI",-1,,,,"POINT (1652116.3908425944 8184369.54125962)"
"Châtelet",1376577,"EF",7,"OUI",-1,,,,"POINT (1652085.1283694487 8184398.426836188)"
"Châtelet",1376488,"EF",4,"NON",-1,,,,"POINT (1652081.941647149 8184405.91595249)"
"Châtelet",1376508,"EF",0,"NON",-1,,,,"POINT (1651955.1834358538 8184570.671746782)"
"Châtelet",1376540,"EF",19,"NON",-1,,,,"POINT (1652228.9904157019 8184266.265927249)"
"Châtelet",1376599,"EF",5,"NON",-1,,,,"POINT (1652048.5672521803 8184546.232736984)"
"Châtelet",1376584,"EF",15,"NON",-1,,,,"POINT (1652067.8472782483 8184532.799009227)"
"Châtelet",1376539,"EF",4,"NON",-1,,,,"POINT (1652089.5406815098 8184519.844044614)"
"Châtelet",1376511,"EF",15,"NON",-1,,,,"POINT (1652085.198801096 8184526.9972196845)"
"Châtelet",1376500,"EF",5,"NON",-1,,,,"POINT (1652102.3039389686 8184514.437723759)"
"Châtelet",1376605,"EF",4,"OUI",-1,,,,"POINT (1652045.5491717698 8184528.629432966)"
"Châtelet",1378397,"EF",8,"OUI",-2,,,,"POINT (1652033.117437928 8184527.315459588)"
"Châtelet",1376566,"EF",16,"NON",-4,,,,"POINT (1652052.3092320142 8184658.900374101)"
"Châtelet",1376534,"EF",8,"NON",-4,,,,"POINT (1652051.3460627235 8184654.661957716)"
"Châtelet",1376529,"EF",10,"NON",-4,,,,"POINT (1652044.60165522 8184641.564207001)"
"Châtelet",1376590,"EF",0,"NON",-4,,,,"POINT (1652037.2173013194 8184629.112154977)"
"Châtelet",1376560,"EF",0,"NON",-4,,,,"POINT (1652061.067936666 8184597.440311223)"
"Châtelet",1376532,"EM",0,"OUI",-2,-2,"M","Non","POINT (1652057.4334000058 8184526.415800933)"
"Châtelet",1376547,"EF",17,"NON",-4,,,,"POINT (1652096.5733943179 8184520.954962153)"
"Châtelet",1376530,"EF",16,"NON",-4,,,,"POINT (1652085.7510004884 8184526.356803001)"
"Châtelet",1376485,"EF",16,"NON",-4,,,,"POINT (1652090.9680820918 8184523.756921063)"
